                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.0978,                0.93371,                 1.2434,                0.87741,                0.84224,                0.89562,                 0.6392,                 1.0396,                0.60965,                 1.1545,               0.008845,               0.008845,               0.008845
                     37,                 1.0983,                0.93363,                 1.2445,                0.87424,                0.84851,                0.89742,                0.63931,                 1.0388,                0.60997,                  1.156,               0.008812,               0.008812,               0.008812
                     38,                 1.0999,                0.93033,                 1.2414,                0.87518,                0.84723,                0.89716,                0.64141,                 1.0337,                0.60852,                 1.1516,               0.008779,               0.008779,               0.008779
                     39,                 1.0951,                0.92725,                 1.2434,                  0.874,                0.85199,                0.89844,                0.64152,                 1.0358,                0.60433,                 1.1554,               0.008746,               0.008746,               0.008746
                     40,                 1.0943,                0.92745,                 1.2423,                0.87376,                0.84484,                0.89633,                0.63967,                   1.04,                0.60786,                 1.1573,               0.008713,               0.008713,               0.008713
                     41,                 1.0962,                0.92643,                 1.2444,                0.87672,                0.84564,                0.89779,                0.64119,                 1.0329,                0.60307,                 1.1529,                0.00868,                0.00868,                0.00868
                     42,                 1.0958,                0.92484,                 1.2423,                 0.8728,                0.85169,                0.89865,                0.64306,                 1.0324,                0.59743,                 1.1503,               0.008647,               0.008647,               0.008647
                     43,                 1.0933,                0.92149,                 1.2416,                  0.877,                0.85317,                0.89983,                0.64413,                 1.0297,                0.59445,                 1.1499,               0.008614,               0.008614,               0.008614
                     44,                  1.092,                0.92057,                 1.2414,                0.88037,                0.85189,                0.90103,                0.64583,                 1.0269,                0.59206,                   1.15,               0.008581,               0.008581,               0.008581
                     45,                 1.0949,                0.92026,                 1.2409,                0.87528,                0.85779,                0.90175,                0.64578,                 1.0299,                0.59132,                 1.1492,               0.008548,               0.008548,               0.008548
                     46,                 1.0954,                0.92152,                 1.2399,                0.87503,                0.85526,                0.90139,                 0.6465,                 1.0283,                 0.5916,                 1.1472,               0.008515,               0.008515,               0.008515
                     47,                 1.0927,                0.91817,                 1.2406,                0.87756,                0.85665,                0.90174,                0.64621,                  1.027,                0.58905,                 1.1465,               0.008482,               0.008482,               0.008482
                     48,                 1.0926,                0.91844,                 1.2409,                0.87761,                0.85394,                0.90158,                0.64749,                  1.025,                0.58824,                 1.1456,               0.008449,               0.008449,               0.008449
                     49,                 1.0891,                0.91057,                  1.239,                0.87705,                0.85696,                0.90249,                0.64935,                 1.0247,                0.58435,                 1.1455,               0.008416,               0.008416,               0.008416
                     50,                 1.0846,                0.91089,                 1.2382,                0.87498,                0.86011,                0.90248,                0.64933,                 1.0238,                0.58354,                  1.145,               0.008383,               0.008383,               0.008383
                     51,                 1.0876,                0.91463,                 1.2387,                0.87818,                0.85553,                0.90203,                 0.6491,                 1.0226,                0.58465,                 1.1444,                0.00835,                0.00835,                0.00835
                     52,                 1.0863,                0.91026,                 1.2366,                 0.8747,                0.85995,                0.90271,                0.65031,                 1.0225,                0.58199,                  1.145,               0.008317,               0.008317,               0.008317
                     53,                 1.0856,                0.90827,                 1.2359,                0.87737,                0.85748,                 0.9027,                0.64968,                 1.0217,                0.58185,                 1.1441,               0.008284,               0.008284,               0.008284
                     54,                 1.0845,                0.90053,                 1.2326,                 0.8769,                0.85762,                0.90283,                0.65028,                  1.021,                0.58075,                 1.1437,               0.008251,               0.008251,               0.008251
                     55,                  1.088,                0.90704,                 1.2376,                 0.8766,                0.86052,                0.90327,                0.65105,                 1.0199,                0.57846,                 1.1429,               0.008218,               0.008218,               0.008218
                     56,                 1.0843,                0.90714,                 1.2362,                0.87684,                0.86041,                0.90335,                0.65107,                 1.0205,                0.57871,                 1.1432,               0.008185,               0.008185,               0.008185
                     57,                 1.0806,                0.89773,                 1.2324,                0.87698,                0.86056,                0.90354,                0.65164,                 1.0195,                0.57829,                 1.1433,               0.008152,               0.008152,               0.008152
                     58,                 1.0862,                0.90449,                 1.2349,                0.87752,                0.85846,                0.90382,                0.65197,                 1.0188,                0.57741,                 1.1427,               0.008119,               0.008119,               0.008119
                     59,                 1.0818,                  0.896,                 1.2327,                0.87909,                0.85794,                0.90374,                0.65167,                 1.0188,                0.57642,                 1.1428,               0.008086,               0.008086,               0.008086
                     60,                 1.0865,                0.90125,                 1.2342,                0.87815,                 0.8578,                0.90337,                0.65202,                 1.0184,                0.57636,                 1.1421,               0.008053,               0.008053,               0.008053
                     61,                 1.0828,                0.89305,                 1.2336,                0.87915,                0.85825,                0.90342,                0.65184,                 1.0182,                0.57611,                 1.1422,                0.00802,                0.00802,                0.00802
                     62,                 1.0819,                0.89701,                 1.2318,                0.87823,                0.85961,                0.90369,                0.65193,                 1.0178,                0.57608,                 1.1417,               0.007987,               0.007987,               0.007987
                     63,                 1.0801,                0.89592,                 1.2315,                0.87659,                0.86168,                0.90385,                0.65221,                 1.0174,                0.57491,                 1.1413,               0.007954,               0.007954,               0.007954
